winners,losers
SMU,Northwestern St.
Savannah St.,Middle Ga. St.
Washington St.,Seattle U
Seton Hall,Indiana
South Fla.,Stetson
Missouri St.,Southern U.
TCU,South Dakota
UTSA,Texas St.
UC Davis,Pacific
Loyola Marymount,UC Riverside
Pittsburgh,UC Santa Barbara
UCF,Gardner-Webb
UCLA,Central Ark.
UNCG,N.C. Wesleyan
Utah St.,Mississippi Val.
Valparaiso,SIUE
UNI,Wartburg
West Virginia,American
Western Ill.,Eastern Ill.
Western Ky.,Ky. Wesleyan
Abilene Christian,Howard Payne
Iowa St.,Appalachian St.
Arizona,CSU Bakersfield
Auburn,Indiana St.
North Texas,Bethune-Cookman
Ga. Southern,Bluefield St.
Boise St.,UTEP
Notre Dame,Chicago St.
Cincinnati,Coppin St.
Colgate,Cornell
Hofstra,Dayton
Ill.-Chicago,Delaware St.
Denver,Johnson & Wales (CO)
Eastern Mich.,Arkansas St.
Evansville,Southeast Mo. St.
Fla. Atlantic,Edward Waters
Florida,North Florida
George Mason,Binghamton
Iowa,Grambling
Holy Cross,Harvard
Kent St.,Ohio Christian
LSU,Samford
La Salle,South Ala.
Lamar University,Jarvis Christian
Morehead St.,Marshall
Miami (FL),Florida A&M
Belmont,Middle Tenn.
NC State,Presbyterian
Northern Ill.,St. Francis (IL)
Clemson,Ohio
Oklahoma St.,Oral Roberts
Providence,Washington
SFA,LeTourneau
Saint Louis,Virginia Tech
Illinois St.,South Carolina
La.-Monroe,Southeastern La.
Michigan,Southern Miss.
Southern Utah,San Jose St.
St. John's (NY),Nebraska
Temple,Old Dominion
Tennessee Tech,Boyce
Ohio St.,Texas Southern
Troy,Brewton-Parker
UAB,LeMoyne-Owen
UMBC,Central Penn
Loyola Chicago,UMKC
Utah,Missouri
Tulsa,Western Mich.
California,Wofford
Xavier,Wisconsin
Alabama,Alabama A&M
Arizona St.,Northern Ariz.
Arkansas,Fresno St.
Ball St.,Stony Brook
Baylor,Alcorn
Boise St.,Illinois St.
Clemson,Hofstra
Cleveland St.,Coppin St.
Colorado,Quinnipiac
Penn St.,Columbia
Illinois,DePaul
Delaware,Wesley
Drake,Wake Forest
Kentucky,ETSU
Central Conn. St.,East Carolina
UNLV,Eastern Wash.
Elon,FIU
Florida St.,Fordham
Ole Miss,Georgia St.
Green Bay,Lakeland
Drexel,Houston
Eastern Ill.,IUPUI
Incarnate Word,McMurry
Villanova,Lafayette
Mercer,Liberty
Louisiana,Savannah St.
Miami (OH),LIU Brooklyn
North Dakota St.,Missouri St.
N.C. Central,Warren Wilson
New Mexico St.,New Mexico
Stanford,Northeastern
Northern Colo.,Pepperdine
Northern Ky.,James Madison
Dayton,Ohio
Old Dominion,Indiana St.
