winners,losers
UT Arlington,Cal Poly
Charleston So.,Johnson & Wales (NC)
Cincinnati,Cleveland St.
East Carolina,Grambling
Eastern Ill.,St. Francis (IL)
Fordham,Florida A&M
Fort Wayne,Liberty
Grand Canyon,Longwood
Harvard,Boston U.
Chattanooga,Jacksonville St.
Kansas,Stanford
Kent St.,Oregon St.
Michigan St.,Long Beach St.
Louisiana Tech,Alabama St.
Loyola Maryland,Drexel
Marquette,American
Maryland,Fairleigh Dickinson
DePaul,Miami (OH)
Michigan,Alabama A&M
Lipscomb,Navy
Northern Ill.,Ill.-Chicago
Omaha,Montana St.
Minnesota,Oral Roberts
Portland St.,California
Purdue,Tennessee St.
Rhode Island,Iona
SFA,Arlington Baptist
Portland,Sacramento St.
Saint Francis (PA),Lehigh
Kennesaw St.,Samford
San Diego St.,Gonzaga
San Jose St.,Santa Clara
South Dakota,Northland
South Fla.,Charlotte
Notre Dame,Southeastern La.
Florida St.,Southern Miss.
Indiana,Tennessee Tech
Troy,Milligan
Tulane,South Ala.
UC Irvine,Idaho
UCF,South Carolina St.
UNCG,Southeastern (FL)
North Dakota St.,UNCW
UTEP,Howard
Vermont,Quinnipiac
Butler,Western Ill.
Texas Tech,Abilene Christian
Air Force,Johnson & Wales (CO)
Texas,Alabama
Arizona St.,Pacific
UT Martin,Ark.-Pine Bluff
Arkansas St.,Culver-Stockton
Ball St.,Jackson St.
Brown,Marist
Cal St. Fullerton,Loyola Marymount
Col. of Charleston,Coastal Caro.
Colgate,Pitt.-Bradford
Iowa,Colorado
Mt. St. Mary's,Coppin St.
Dartmouth,Bryant
New Mexico St.,Davidson
Nebraska,Delaware St.
Murray St.,Detroit Mercy
Drake,UMES
Duquesne,San Francisco
ETSU,Ga. Southern
Oakland,Eastern Mich.
Fairfield,New Hampshire
Florida,Incarnate Word
Louisiana Tech,Fort Wayne
George Mason,Morgan St.
Hartford,FIU
Siena,Holy Cross
IUPUI,Ind.-Kokomo
Elon,Indiana St.
NC State,Jacksonville
LIU Brooklyn,Binghamton
LSU,North Florida
Bucknell,La Salle
Liberty,Alabama St.
Clemson,Louisiana
Marshall,Eastern Ky.
Massachusetts,Maine
Miami (FL),Hawaii
Missouri St.,Loyola Chicago
Washington,Montana
Radford,N.C. A&T
NJIT,Bryn Athyn
Nevada,Southern Ill.
New Mexico,Prairie View
Old Dominion,Norfolk St.
UNLV,Northern Colo.
Oklahoma,Northwestern
Ole Miss,Bradley
Rider,Penn St.
Middle Tenn.,Princeton
Providence,Sacred Heart
Canisius,Robert Morris
Central Mich.,SIUE
Saint Louis,Southeast Mo. St.
Saint Mary's (CA),UNC Asheville
Utah Valley,Sam Houston St.
San Diego,LIFE Pacific
South Dakota St.,UMKC
Southern California,Akron
St. Bonaventure,Syracuse
Stony Brook,Rutgers
TCU,William & Mary
Georgia,Temple
Texas St.,Rice
Pittsburgh,Towson
UC Davis,Lamar University
UC Riverside,UC Merced
Howard,UNCW
North Dakota St.,UTEP
Oklahoma St.,UTRGV
VCU,VMI
Vanderbilt,Alcorn
Villanova,Hofstra
Virginia,Hampton
Washington St.,Bethune-Cookman
Weber St.,Presentation
Western Ky.,Austin Peay
Western Mich.,Milwaukee
Wichita St.,FGCU
Wright St.,Georgia Tech
Xavier,UNI
Monmouth,Yale
Princeton,Akron
Auburn,UConn
Central Conn. St.,UMass Lowell
Hawaii,Davidson
Dayton,Wagner
Southern Ill.,Duquesne
Minnesota,Fla. Atlantic
Georgetown,Alabama A&M
Georgia St.,Chattanooga
Louisville,Grand Canyon
Wisconsin,Green Bay
George Washington,Harvard
Idaho St.,CSUN
Ill.-Chicago,Trinity Christian
Illinois St.,Evansville
UCLA,Kentucky
Colorado St.,Long Beach St.
Memphis,Loyola Maryland
Mississippi St.,Southern Miss.
Illinois,Missouri
N.C. A&T,Lamar University
San Francisco,Nevada
New Mexico St.,Miami (FL)
Niagara,Cornell
Seattle U,Nicholls St.
North Carolina,Ohio St.
Boston College,Richmond
Saint Peter's,St. Francis Brooklyn
Seton Hall,Manhattan
Southern California,Middle Tenn.
Tennessee,Wake Forest
BYU,Texas Southern
Toledo,Cleveland St.
UAB,Mississippi Val.
Radford,UC Davis
UC Santa Barbara,Sacramento St.
West Virginia,Fordham
